,SKU,FAMILY,DAY,QTY,TO
900,ITEM-901,FAMILY-5,1,0,0.0
901,ITEM-902,FAMILY-5,1,4,6.72
902,ITEM-903,FAMILY-5,1,20,39.4
903,ITEM-904,FAMILY-5,1,2,7.94
904,ITEM-905,FAMILY-5,1,0,0.0
905,ITEM-906,FAMILY-5,1,2,15.94
906,ITEM-907,FAMILY-5,1,4,35.88
907,ITEM-908,FAMILY-5,1,0,0.0
908,ITEM-909,FAMILY-5,1,0,0.0
909,ITEM-910,FAMILY-5,1,0,0.0
910,ITEM-911,FAMILY-5,1,0,0.0
911,ITEM-912,FAMILY-5,1,2,4.76
912,ITEM-913,FAMILY-5,1,8,31.76
913,ITEM-914,FAMILY-5,1,4,8.72
914,ITEM-915,FAMILY-5,1,3,5.91
915,ITEM-916,FAMILY-5,1,0,0.0
916,ITEM-917,FAMILY-5,1,0,0.0
917,ITEM-918,FAMILY-5,1,3,6.0
918,ITEM-919,FAMILY-5,1,3,6.0
919,ITEM-920,FAMILY-5,1,0,0.0
920,ITEM-921,FAMILY-5,1,3,4.74
921,ITEM-922,FAMILY-5,1,1,3.12
922,ITEM-923,FAMILY-5,1,2,4.76
923,ITEM-924,FAMILY-5,1,2,4.76
924,ITEM-925,FAMILY-5,1,0,0.0
925,ITEM-926,FAMILY-5,1,0,0.0
926,ITEM-927,FAMILY-5,1,4,11.76
927,ITEM-928,FAMILY-5,1,10,10.0
928,ITEM-929,FAMILY-5,1,6,12.0
929,ITEM-930,FAMILY-5,1,0,0.0
930,ITEM-931,FAMILY-5,1,1,1.98
931,ITEM-932,FAMILY-5,1,1,3.25
932,ITEM-933,FAMILY-5,1,3,4.5600000000000005
933,ITEM-934,FAMILY-5,1,0,0.0
934,ITEM-935,FAMILY-5,1,1,2.98
935,ITEM-936,FAMILY-5,1,2,6.86
936,ITEM-937,FAMILY-5,1,6,13.379999999999999
937,ITEM-938,FAMILY-5,1,10,27.3
938,ITEM-939,FAMILY-5,1,1,6.98
939,ITEM-940,FAMILY-5,1,15,44.7
940,ITEM-941,FAMILY-5,1,5,13.4
941,ITEM-942,FAMILY-5,1,19,12.16
942,ITEM-943,FAMILY-5,1,1,6.98
943,ITEM-944,FAMILY-5,1,3,7.5
944,ITEM-945,FAMILY-5,1,4,13.0
945,ITEM-946,FAMILY-5,1,1,2.46
946,ITEM-947,FAMILY-5,1,10,112.4
947,ITEM-948,FAMILY-5,1,10,51.2
948,ITEM-949,FAMILY-5,1,3,8.040000000000001
949,ITEM-950,FAMILY-5,1,0,0.0
950,ITEM-951,FAMILY-5,1,0,0.0
951,ITEM-952,FAMILY-5,1,0,0.0
952,ITEM-953,FAMILY-5,1,2,6.5
953,ITEM-954,FAMILY-5,1,4,9.36
954,ITEM-955,FAMILY-5,1,1,2.98
955,ITEM-956,FAMILY-5,1,0,0.0
956,ITEM-957,FAMILY-5,1,7,19.11
957,ITEM-958,FAMILY-5,1,0,0.0
958,ITEM-959,FAMILY-5,1,5,12.5
959,ITEM-960,FAMILY-5,1,5,58.9
960,ITEM-961,FAMILY-5,1,1,6.48
961,ITEM-962,FAMILY-5,1,4,9.12
962,ITEM-963,FAMILY-5,1,0,0.0
963,ITEM-964,FAMILY-5,1,4,27.92
964,ITEM-965,FAMILY-5,1,0,0.0
965,ITEM-966,FAMILY-5,1,4,23.92
966,ITEM-967,FAMILY-5,1,5,34.2
967,ITEM-968,FAMILY-5,1,9,16.919999999999998
968,ITEM-969,FAMILY-5,1,3,14.879999999999999
969,ITEM-970,FAMILY-5,1,8,21.84
970,ITEM-971,FAMILY-5,1,0,0.0
971,ITEM-972,FAMILY-5,1,0,0.0
972,ITEM-973,FAMILY-5,1,1,5.18
973,ITEM-974,FAMILY-5,1,0,0.0
974,ITEM-975,FAMILY-5,1,1,6.84
975,ITEM-976,FAMILY-5,1,2,5.96
976,ITEM-977,FAMILY-5,1,1,9.38
977,ITEM-978,FAMILY-5,1,0,0.0
978,ITEM-979,FAMILY-5,1,2,4.68
979,ITEM-980,FAMILY-5,1,0,0.0
980,ITEM-981,FAMILY-5,1,3,17.94
981,ITEM-982,FAMILY-5,1,0,0.0
982,ITEM-983,FAMILY-5,1,0,0.0
983,ITEM-984,FAMILY-5,1,1,2.98
984,ITEM-985,FAMILY-5,1,0,0.0
985,ITEM-986,FAMILY-5,1,1,6.48
986,ITEM-987,FAMILY-5,1,0,0.0
987,ITEM-988,FAMILY-5,1,3,7.5
988,ITEM-989,FAMILY-5,1,2,5.96
989,ITEM-990,FAMILY-5,1,4,23.92
990,ITEM-991,FAMILY-5,1,2,13.96
991,ITEM-992,FAMILY-5,1,1,6.98
992,ITEM-993,FAMILY-5,1,2,3.96
993,ITEM-994,FAMILY-5,1,4,7.92
994,ITEM-995,FAMILY-5,1,0,0.0
995,ITEM-996,FAMILY-5,1,1,2.98
996,ITEM-997,FAMILY-5,1,3,12.54
997,ITEM-998,FAMILY-5,1,0,0.0
998,ITEM-999,FAMILY-5,1,7,4.48
999,ITEM-1000,FAMILY-5,1,0,0.0
1000,ITEM-1001,FAMILY-5,1,1,3.0
1001,ITEM-1002,FAMILY-5,1,1,2.46
1002,ITEM-1003,FAMILY-5,1,1,2.98
1003,ITEM-1004,FAMILY-5,1,7,12.46
1004,ITEM-1005,FAMILY-5,1,0,0.0
1005,ITEM-1006,FAMILY-5,1,2,13.96
1006,ITEM-1007,FAMILY-5,1,0,0.0
1007,ITEM-1008,FAMILY-5,1,0,0.0
1008,ITEM-1009,FAMILY-5,1,9,17.82
1009,ITEM-1010,FAMILY-5,1,1,6.98
1010,ITEM-1011,FAMILY-5,1,3,8.19
1011,ITEM-1012,FAMILY-5,1,0,0.0
1012,ITEM-1013,FAMILY-6,1,10,27.3
1013,ITEM-1014,FAMILY-6,1,2,23.56
1014,ITEM-1015,FAMILY-6,1,4,6.08
1015,ITEM-1016,FAMILY-6,1,1,3.25
1016,ITEM-1017,FAMILY-6,1,0,0.0
1017,ITEM-1018,FAMILY-6,1,0,0.0
1018,ITEM-1019,FAMILY-6,1,1,2.98
1019,ITEM-1020,FAMILY-6,1,1,2.98
1020,ITEM-1021,FAMILY-6,1,2,4.68
1021,ITEM-1022,FAMILY-6,1,4,10.72
1022,ITEM-1023,FAMILY-6,1,4,11.92
1023,ITEM-1024,FAMILY-6,1,1,8.24
1024,ITEM-1025,FAMILY-6,1,6,17.28
1025,ITEM-1026,FAMILY-6,1,2,5.76
1026,ITEM-1027,FAMILY-6,1,16,38.08
1027,ITEM-1028,FAMILY-6,1,8,15.84
1028,ITEM-1029,FAMILY-6,1,1,8.24
1029,ITEM-1030,FAMILY-6,1,3,8.94
1030,ITEM-1031,FAMILY-6,1,0,0.0
1031,ITEM-1032,FAMILY-6,1,1,2.98
1032,ITEM-1033,FAMILY-6,1,11,19.580000000000002
1033,ITEM-1034,FAMILY-6,1,0,0.0
1034,ITEM-1035,FAMILY-6,1,0,0.0
1035,ITEM-1036,FAMILY-6,1,1,3.25
1036,ITEM-1037,FAMILY-6,1,38,113.24
1037,ITEM-1038,FAMILY-6,1,1,9.88
1038,ITEM-1039,FAMILY-6,1,0,0.0
1039,ITEM-1040,FAMILY-6,1,1,3.43
1040,ITEM-1041,FAMILY-6,1,0,0.0
1041,ITEM-1042,FAMILY-6,1,1,6.84
1042,ITEM-1043,FAMILY-6,1,4,27.92
1043,ITEM-1044,FAMILY-6,1,1,2.64
1044,ITEM-1045,FAMILY-6,1,11,45.98
1045,ITEM-1046,FAMILY-6,1,0,0.0
1046,ITEM-1047,FAMILY-6,1,1,3.25
1047,ITEM-1048,FAMILY-6,1,0,0.0
1048,ITEM-1049,FAMILY-6,1,3,5.9399999999999995
1049,ITEM-1050,FAMILY-6,1,1,1.34
1050,ITEM-1051,FAMILY-6,1,0,0.0
1051,ITEM-1052,FAMILY-6,1,0,0.0
1052,ITEM-1053,FAMILY-6,1,3,7.5
1053,ITEM-1054,FAMILY-6,1,1,2.34
1054,ITEM-1055,FAMILY-6,1,2,4.68
1055,ITEM-1056,FAMILY-6,1,0,0.0
1056,ITEM-1057,FAMILY-6,1,3,6.84
1057,ITEM-1058,FAMILY-6,1,13,51.74
1058,ITEM-1059,FAMILY-6,1,0,0.0
1059,ITEM-1060,FAMILY-6,1,2,6.36
1060,ITEM-1061,FAMILY-6,1,1,2.58
1061,ITEM-1062,FAMILY-6,1,4,9.36
1062,ITEM-1063,FAMILY-6,1,1,2.5
1063,ITEM-1064,FAMILY-6,1,0,0.0
1064,ITEM-1065,FAMILY-6,1,32,175.36
1065,ITEM-1066,FAMILY-6,1,2,6.0
1066,ITEM-1067,FAMILY-6,1,0,0.0
1067,ITEM-1068,FAMILY-6,1,2,13.96
1068,ITEM-1069,FAMILY-6,1,5,5.0
1069,ITEM-1070,FAMILY-6,1,3,9.36
1070,ITEM-1071,FAMILY-6,1,3,5.9399999999999995
1071,ITEM-1072,FAMILY-6,1,0,0.0
1072,ITEM-1073,FAMILY-6,1,1,3.25
1073,ITEM-1074,FAMILY-6,1,4,7.12
1074,ITEM-1075,FAMILY-6,1,3,20.94
1075,ITEM-1076,FAMILY-6,1,0,0.0
1076,ITEM-1077,FAMILY-6,1,21,62.58
1077,ITEM-1078,FAMILY-6,1,0,0.0
1078,ITEM-1079,FAMILY-6,1,2,13.68
1079,ITEM-1080,FAMILY-6,1,0,0.0
1080,ITEM-1081,FAMILY-6,1,8,12.16
1081,ITEM-1082,FAMILY-6,1,4,13.92
1082,ITEM-1083,FAMILY-6,1,0,0.0
1083,ITEM-1084,FAMILY-6,1,4,10.0
1084,ITEM-1085,FAMILY-6,1,0,0.0
1085,ITEM-1086,FAMILY-6,1,3,10.74
1086,ITEM-1087,FAMILY-6,1,6,8.040000000000001
1087,ITEM-1088,FAMILY-6,1,1,11.78
1088,ITEM-1089,FAMILY-6,1,0,0.0
1089,ITEM-1090,FAMILY-6,1,1,11.78
1090,ITEM-1091,FAMILY-6,1,8,17.84
1091,ITEM-1092,FAMILY-6,1,0,0.0
1092,ITEM-1093,FAMILY-6,1,8,31.04
1093,ITEM-1094,FAMILY-6,1,0,0.0
1094,ITEM-1095,FAMILY-6,1,0,0.0
1095,ITEM-1096,FAMILY-6,1,1,2.88
1096,ITEM-1097,FAMILY-6,1,12,32.76
1097,ITEM-1098,FAMILY-6,1,8,20.0
1098,ITEM-1099,FAMILY-6,1,2,23.56
1099,ITEM-1100,FAMILY-6,1,4,19.92
1100,ITEM-1101,FAMILY-6,1,3,8.64
1101,ITEM-1102,FAMILY-6,1,0,0.0
1102,ITEM-1103,FAMILY-6,1,0,0.0
1103,ITEM-1104,FAMILY-6,1,3,3.24
1104,ITEM-1105,FAMILY-6,1,2,3.96
1105,ITEM-1106,FAMILY-6,1,0,0.0
1106,ITEM-1107,FAMILY-6,1,2,7.96
1107,ITEM-1108,FAMILY-6,1,0,0.0
1108,ITEM-1109,FAMILY-6,1,2,6.68
1109,ITEM-1110,FAMILY-6,1,0,0.0
1110,ITEM-1111,FAMILY-6,1,2,6.0
1111,ITEM-1112,FAMILY-6,1,1,5.98
1112,ITEM-1113,FAMILY-6,1,1,3.25
1113,ITEM-1114,FAMILY-6,1,5,14.9
1114,ITEM-1115,FAMILY-6,1,13,28.99
1115,ITEM-1116,FAMILY-6,1,2,11.96
1116,ITEM-1117,FAMILY-6,1,0,0.0
1117,ITEM-1118,FAMILY-6,1,7,20.16
1118,ITEM-1119,FAMILY-6,1,2,5.0
1119,ITEM-1120,FAMILY-6,1,2,4.46
1120,ITEM-1121,FAMILY-6,1,0,0.0
1121,ITEM-1122,FAMILY-6,1,2,4.46
1122,ITEM-1123,FAMILY-6,1,30,19.2
1123,ITEM-1124,FAMILY-6,1,2,6.5
1124,ITEM-1125,FAMILY-6,1,3,6.959999999999999
1125,ITEM-1126,FAMILY-6,1,0,0.0
1126,ITEM-1127,FAMILY-6,1,7,48.86
1127,ITEM-1128,FAMILY-6,1,3,14.940000000000001
1128,ITEM-1129,FAMILY-6,1,7,16.66
1129,ITEM-1130,FAMILY-6,1,0,0.0
1130,ITEM-1131,FAMILY-6,1,1,2.23
1131,ITEM-1132,FAMILY-6,1,1,4.98
1132,ITEM-1133,FAMILY-6,1,7,13.86
1133,ITEM-1134,FAMILY-6,1,1,3.22
1134,ITEM-1135,FAMILY-6,1,0,0.0
1135,ITEM-1136,FAMILY-6,1,3,8.040000000000001
1136,ITEM-1137,FAMILY-6,1,2,6.5
1137,ITEM-1138,FAMILY-6,1,2,4.16
1138,ITEM-1139,FAMILY-6,1,2,6.0
1139,ITEM-1140,FAMILY-6,1,0,0.0
1140,ITEM-1141,FAMILY-6,1,3,5.9399999999999995
1141,ITEM-1142,FAMILY-6,1,3,14.940000000000001
1142,ITEM-1143,FAMILY-6,1,2,4.56
1143,ITEM-1144,FAMILY-6,1,0,0.0
1144,ITEM-1145,FAMILY-6,1,3,5.9399999999999995
1145,ITEM-1146,FAMILY-6,1,1,2.28
1146,ITEM-1147,FAMILY-6,1,1,1.98
1147,ITEM-1148,FAMILY-6,1,0,0.0
1148,ITEM-1149,FAMILY-6,1,3,5.9399999999999995
1149,ITEM-1150,FAMILY-6,1,0,0.0
1150,ITEM-1151,FAMILY-6,1,11,21.78
1151,ITEM-1152,FAMILY-6,1,5,7.9
1152,ITEM-1153,FAMILY-6,1,0,0.0
1153,ITEM-1154,FAMILY-6,1,1,1.98
1154,ITEM-1155,FAMILY-6,1,7,8.75
1155,ITEM-1156,FAMILY-6,1,0,0.0
1156,ITEM-1157,FAMILY-6,1,5,14.399999999999999
1157,ITEM-1158,FAMILY-6,1,3,5.9399999999999995
1158,ITEM-1159,FAMILY-6,1,1,3.5
1159,ITEM-1160,FAMILY-6,1,0,0.0
1160,ITEM-1161,FAMILY-6,1,45,45.0
1161,ITEM-1162,FAMILY-6,1,2,7.96
1162,ITEM-1163,FAMILY-6,1,1,3.58
1163,ITEM-1164,FAMILY-6,1,0,0.0
1164,ITEM-1165,FAMILY-6,1,0,0.0
1165,ITEM-1166,FAMILY-6,1,3,4.4399999999999995
1166,ITEM-1167,FAMILY-6,1,3,5.9399999999999995
1167,ITEM-1168,FAMILY-6,1,0,0.0
1168,ITEM-1169,FAMILY-6,1,3,5.91
1169,ITEM-1170,FAMILY-6,1,6,16.080000000000002
1170,ITEM-1171,FAMILY-6,1,0,0.0
1171,ITEM-1172,FAMILY-6,1,0,0.0
1172,ITEM-1173,FAMILY-6,1,1,2.98
1173,ITEM-1174,FAMILY-6,1,0,0.0
1174,ITEM-1175,FAMILY-6,1,0,0.0
1175,ITEM-1176,FAMILY-6,1,6,13.080000000000002
1176,ITEM-1177,FAMILY-6,1,1,5.98
1177,ITEM-1178,FAMILY-6,1,33,48.839999999999996
1178,ITEM-1179,FAMILY-6,1,1,4.5
1179,ITEM-1180,FAMILY-6,1,0,0.0
1180,ITEM-1181,FAMILY-6,1,3,56.94
1181,ITEM-1182,FAMILY-6,1,1,1.25
1182,ITEM-1183,FAMILY-6,1,3,3.0
1183,ITEM-1184,FAMILY-6,1,107,133.75
1184,ITEM-1185,FAMILY-6,1,1,4.88
1185,ITEM-1186,FAMILY-6,1,8,29.44
1186,ITEM-1187,FAMILY-6,1,0,0.0
1187,ITEM-1188,FAMILY-6,1,1,5.64
1188,ITEM-1189,FAMILY-6,1,0,0.0
1189,ITEM-1190,FAMILY-6,1,11,22.0
1190,ITEM-1191,FAMILY-6,1,2,8.76
1191,ITEM-1192,FAMILY-6,1,0,0.0
1192,ITEM-1193,FAMILY-6,1,5,9.9
1193,ITEM-1194,FAMILY-6,1,0,0.0
1194,ITEM-1195,FAMILY-6,1,5,13.4
1195,ITEM-1196,FAMILY-6,1,0,0.0
1196,ITEM-1197,FAMILY-6,1,4,6.0
1197,ITEM-1198,FAMILY-6,1,4,17.52
1198,ITEM-1199,FAMILY-6,1,7,7.0
1199,ITEM-1200,FAMILY-6,1,1,1.97
1200,ITEM-1201,FAMILY-6,1,4,4.0
1201,ITEM-1202,FAMILY-6,1,3,7.41
1202,ITEM-1203,FAMILY-6,1,7,41.86
1203,ITEM-1204,FAMILY-6,1,0,0.0
1204,ITEM-1205,FAMILY-6,1,6,19.68
1205,ITEM-1206,FAMILY-6,1,0,0.0
1206,ITEM-1207,FAMILY-6,1,0,0.0
1207,ITEM-1208,FAMILY-6,1,14,12.32
1208,ITEM-1209,FAMILY-6,1,6,26.28
1209,ITEM-1210,FAMILY-6,1,4,19.92
1210,ITEM-1211,FAMILY-6,1,0,0.0
1211,ITEM-1212,FAMILY-6,1,2,3.88
1212,ITEM-1213,FAMILY-6,1,0,0.0
1213,ITEM-1214,FAMILY-6,1,0,0.0
1214,ITEM-1215,FAMILY-6,1,6,7.5
1215,ITEM-1216,FAMILY-6,1,19,37.43
1216,ITEM-1217,FAMILY-6,1,3,8.040000000000001
1217,ITEM-1218,FAMILY-6,1,4,11.92
1218,ITEM-1219,FAMILY-6,1,7,13.86
1219,ITEM-1220,FAMILY-6,1,3,10.74
1220,ITEM-1221,FAMILY-6,1,1,2.47
1221,ITEM-1222,FAMILY-6,1,0,0.0
1222,ITEM-1223,FAMILY-6,1,11,21.78
1223,ITEM-1224,FAMILY-6,1,0,0.0
1224,ITEM-1225,FAMILY-6,1,0,0.0
1225,ITEM-1226,FAMILY-6,1,0,0.0
1226,ITEM-1227,FAMILY-6,1,1,6.22
1227,ITEM-1228,FAMILY-6,1,0,0.0
1228,ITEM-1229,FAMILY-6,1,0,0.0
1229,ITEM-1230,FAMILY-6,1,2,4.74
1230,ITEM-1231,FAMILY-7,1,8,15.84
1231,ITEM-1232,FAMILY-7,1,0,0.0
1232,ITEM-1233,FAMILY-7,1,7,20.86
1233,ITEM-1234,FAMILY-7,1,0,0.0
1234,ITEM-1235,FAMILY-7,1,1,1.98
1235,ITEM-1236,FAMILY-7,1,9,9.0
1236,ITEM-1237,FAMILY-7,1,4,9.12
1237,ITEM-1238,FAMILY-7,1,0,0.0
1238,ITEM-1239,FAMILY-7,1,1,4.5
1239,ITEM-1240,FAMILY-7,1,0,0.0
1240,ITEM-1241,FAMILY-7,1,5,10.0
1241,ITEM-1242,FAMILY-7,1,0,0.0
1242,ITEM-1243,FAMILY-7,1,9,39.42
1243,ITEM-1244,FAMILY-7,1,4,18.0
1244,ITEM-1245,FAMILY-7,1,1,1.98
1245,ITEM-1246,FAMILY-7,1,1,5.28
1246,ITEM-1247,FAMILY-7,1,3,8.94
1247,ITEM-1248,FAMILY-7,1,0,0.0
1248,ITEM-1249,FAMILY-7,1,8,10.0
1249,ITEM-1250,FAMILY-7,1,0,0.0
1250,ITEM-1251,FAMILY-7,1,11,30.58
1251,ITEM-1252,FAMILY-7,1,51,51.0
1252,ITEM-1253,FAMILY-7,1,0,0.0
1253,ITEM-1254,FAMILY-7,1,1,4.28
1254,ITEM-1255,FAMILY-7,1,10,19.8
1255,ITEM-1256,FAMILY-7,1,13,19.24
1256,ITEM-1257,FAMILY-7,1,21,42.0
1257,ITEM-1258,FAMILY-7,1,14,20.72
1258,ITEM-1259,FAMILY-7,1,3,10.44
1259,ITEM-1260,FAMILY-7,1,6,35.88
1260,ITEM-1261,FAMILY-7,1,1,3.18
1261,ITEM-1262,FAMILY-7,1,0,0.0
1262,ITEM-1263,FAMILY-7,1,0,0.0
1263,ITEM-1264,FAMILY-7,1,6,22.080000000000002
1264,ITEM-1265,FAMILY-7,1,5,8.4
1265,ITEM-1266,FAMILY-7,1,0,0.0
1266,ITEM-1267,FAMILY-7,1,0,0.0
1267,ITEM-1268,FAMILY-7,1,1,1.48
1268,ITEM-1269,FAMILY-7,1,0,0.0
1269,ITEM-1270,FAMILY-7,1,2,3.96
1270,ITEM-1271,FAMILY-7,1,5,9.9
1271,ITEM-1272,FAMILY-7,1,5,14.2
1272,ITEM-1273,FAMILY-7,1,0,0.0
1273,ITEM-1274,FAMILY-7,1,19,28.12
1274,ITEM-1275,FAMILY-7,1,1,2.38
1275,ITEM-1276,FAMILY-7,1,3,12.84
1276,ITEM-1277,FAMILY-7,1,1,4.48
1277,ITEM-1278,FAMILY-7,1,10,26.8
1278,ITEM-1279,FAMILY-7,1,0,0.0
1279,ITEM-1280,FAMILY-7,1,0,0.0
1280,ITEM-1281,FAMILY-7,1,16,31.68
1281,ITEM-1282,FAMILY-7,1,3,8.52
1282,ITEM-1283,FAMILY-7,1,1,4.98
1283,ITEM-1284,FAMILY-7,1,7,14.0
1284,ITEM-1285,FAMILY-7,1,16,20.0
1285,ITEM-1286,FAMILY-7,1,0,0.0
1286,ITEM-1287,FAMILY-7,1,0,0.0
1287,ITEM-1288,FAMILY-7,1,2,10.52
1288,ITEM-1289,FAMILY-7,1,0,0.0
1289,ITEM-1290,FAMILY-7,1,0,0.0
1290,ITEM-1291,FAMILY-7,1,0,0.0
1291,ITEM-1292,FAMILY-7,1,0,0.0
1292,ITEM-1293,FAMILY-7,1,0,0.0
